	title	REVISADO (bibtex citation)	Google link
SRA-475	Evolution of Portulacineae marked by gene tree conflict and gene family exmpasion associated with adaptation to harsh environments	@article{Wang2019Jan,         author = {Wang, Ning and Yang, Ya and Moore, Michael J. and Brockington, Samuel F. and Walker, Joseph F. and Brown, Joseph W. and Liang, Bin and Feng, Tao and Edwards, Caroline and Mikenas, Jessica and Olivieri, Julia and Hutchison, Vera and Timoneda, Alfonso and Stoughton, Tommy and Puente, Raúl and Majure, Lucas C. and Eggli, Urs and Smith, Stephen A.},         title = {{Evolution of Portulacineae Marked by Gene Tree Conflict and Gene Family Expansion Associated with Adaptation to Harsh Environments}},         journal = {Molecular Biology and Evolution},         volume = {36},         number = {1},         pages = {112--126},         year = {2018},         month = {Jan},         issn = {0737-4038},         publisher = {Oxford Academic},         doi = {10.1093/molbev/msy200},         abstract = {{Several plant lineages have evolved adaptations that allow survival in extreme and harsh environments including many families within the plant clade Portulacineae (Caryophyllales) such as the Cactaceae, Didiereaceae, and Montiaceae. Here, using newly generated transcriptomic data, we reconstructed the phylogeny of Portulacineae and examined potential correlates between molecular evolution and adaptation to harsh environments. Our phylogenetic results were largely congruent with previous analyses, but we identified several early diverging nodes characterized by extensive gene tree conflict. For particularly contentious nodes, we present detailed information about the phylogenetic signal for alternative relationships. We also analyzed the frequency of gene duplications, confirmed previously identified whole genome duplications (WGD), and proposed a previously unidentified WGD event within the Didiereaceae. We found that the WGD events were typically associated with shifts in climatic niche but did not find a direct association with WGDs and diversification rate shifts. Diversification shifts occurred within the Portulacaceae, Cactaceae, and Anacampserotaceae, and whereas these did not experience WGDs, the Cactaceae experienced extensive gene duplications. We examined gene family expansion and molecular evolutionary patterns with a focus on genes associated with environmental stress responses and found evidence for significant gene family expansion in genes with stress adaptation and clades found in extreme environments. These results provide important directions for further and deeper examination of the potential links between molecular evolutionary patterns and adaptation to harsh environments.}} }	https://scholar.google.com/scholar?&q=Evolution+of+Portulacineae+marked+by+gene+tree+conflict+and+gene+family+exmpasion+associated+with+adaptation+to+harsh+environments
SRA-476	Evolution of genomes in the genus Rosa	No existe	https://scholar.google.com/scholar?&q=Evolution+of+genomes+in+the+genus+Rosa
SRA-477	Evolution of the herbivore associated elicitor induced early defence signalling networks in Nicotiana	Out of scope	https://scholar.google.com/scholar?&q=Evolution+of+the+herbivore+associated+elicitor+induced+early+defence+signalling+networks+in+Nicotiana
SRA-478	Evolution on the backbone: Apocynaceae phylogenomics and new perspectives on growth forms, flowers, and fruits	@article{Fishbein2018May,         author = {Fishbein, Mark and Livshultz, Tatyana and Straub, Shannon C. K. and Simões, André O. and Boutte, Julien and McDonnell, Angela and Foote, Abbey},         title = {{Evolution on the backbone: Apocynaceae phylogenomics and new perspectives on growth forms, flowers, and fruits}},         journal = {American Journal of Botany},         volume = {105},         number = {3},         pages = {495--513},         year = {2018},         month = {May},         issn = {1537-2197},         publisher = {John Wiley & Sons, Ltd},         doi = {10.1002/ajb2.1067},         abstract = {{PREMISE OF THE STUDY: We provide the largest phylogenetic analyses to date of Apocynaceae in terms of taxa and molecular data as a framework for analyzing the evolution of vegetative and reproductive traits. METHODS: We produced maximum-likelihood phylogenies of Apocynaceae using 21 plastid loci sampled from 1045 species (nearly 25% of the family) and complete plastomes from 73 species. We reconstructed ancestral states and used model comparisons in a likelihood framework to analyze character evolution across Apocynaceae. KEY RESULTS: We obtained a well-supported phylogeny of Apocynaceae, resolving poorly understood tribal and subtribal relationships (e.g., among Amsonieae and Hunterieae, within Asclepiadeae), rejecting monophyly of Melodineae and Odontadenieae, and placing previously unsampled and enigmatic taxa (e.g., Pycnobotrya). We provide new insights into the evolution of Apocynaceae, including frequent shifts between herbaceousness and woodiness, reversibility of twining, integrated evolution of the corolla and gynostegium, and ancestral baccate fruits. CONCLUSIONS: Increased sampling and selection of best-fitting models of evolution provide more resolved and robust estimates of phylogeny and character evolution than obtained in previous studies. Evolutionary inferences are sensitive to choice of phylogenetic frameworks and models.}} }	https://scholar.google.com/scholar?&q=Evolution+on+the+backbone%3A+Apocynaceae+phylogenomics+and+new+perspectives+on+growth+forms%2C+flowers%2C+and+fruits
SRA-479	Evolutionary and population genomics of the Cucurbita genus in Mexico	No existe	https://scholar.google.com/scholar?&q=Evolutionary+and+population+genomics+of+the+Cucurbita+genus+in+Mexico
SRA-480	Evolutionary dynamics of chloroplast genomes in subfamily Aroideae (Araceae)	@article{Henriquez2020May,         author = {Henriquez, Claudia L. and Abdullah and Ahmed, Ibrar and Carlsen, Monica M. and Zuluaga, Alejandro and Croat, Thomas B. and McKain, Michael R.},         title = {{Evolutionary dynamics of chloroplast genomes in subfamily Aroideae (Araceae)}},         journal = {Genomics},         volume = {112},         number = {3},         pages = {2349--2360},         year = {2020},         month = {May},         issn = {0888-7543},         publisher = {Academic Press},         doi = {10.1016/j.ygeno.2020.01.006},         abstract = {{Aroideae is the largest and most diverse subfamily of the plant family Araceae. Despite its agricultural and horticultural importance, the genomic resources are sparse for this subfamily. Here, we report de novo assembled and fully annotated chloroplast genomes of 13 Aroideae species. The quadripartite chloroplast genomes (size range of 158,177–170,037 bp) are comprised of a large single copy (LSC; 75,594–94,702 bp), a small single copy (SSC; 12,903–23,981 bp) and a pair of inverted repeats (IRs; 25,266–34,840 bp). Notable gene rearrangements and IRs contraction / expansions were found for Anchomanes hookeri and Zantedeschia aethiopica. Codon usage, amino acid frequencies, oligonucleotide repeats, GC contents, and gene features revealed similarities among the 13 species. The number of oligonucleotide repeats was uncorrelated with genome size or phylogenetic position of the species. Phylogenetic analyses corroborated the monophyly of Aroideae but were unable to resolve the positions of Calla and Schismatoglottis.}} }	https://scholar.google.com/scholar?&q=Evolutionary+dynamics+of+chloroplast+genomes+in+subfamily+Aroideae+%28Araceae%29
SRA-481	Evolutionary dynamics of mutational hotspots in subfamily Monsteriodeae (Araceae)	No existe	https://scholar.google.com/scholar?&q=Evolutionary+dynamics+of+mutational+hotspots+in+subfamily+Monsteriodeae+%28Araceae%29
SRA-482	Evolutionary insights of Bean common mosaic necrosis virus and Cowpea aphid-borne mosaic virus from the western highlands of Kenya	@article{Wainaina2019Feb,         author = {Wainaina, James M. and Kubatko, Laura and Harvey, Jagger and Ateka, Elijah and Makori, Timothy and Karanja, David and Boykin, Laura M. and Kehoe, Monica A.},         title = {{Evolutionary insights of Bean common mosaic necrosis virus and Cowpea aphid-borne mosaic virus}},         journal = {PeerJ},         volume = {7},         pages = {e6297},         year = {2019},         month = {Feb},         issn = {2167-8359},         publisher = {PeerJ Inc.},         doi = {10.7717/peerj.6297},         abstract = {{Plant viral diseases are one of the major limitations in legume production within sub-Saharan Africa (SSA), as they account for up to 100% in production losses within smallholder farms. In this study, field surveys were conducted in the western highlands of Kenya with viral symptomatic leaf samples collected. Subsequently, next-generation sequencing was carried out to gain insights into the molecular evolution and evolutionary relationships of Bean common mosaic necrosis virus (BCMNV) and Cowpea aphid-borne mosaic virus (CABMV) present within symptomatic common bean and cowpea. Eleven near-complete genomes of BCMNV and two for CABMV were obtained from western Kenya. Bayesian phylogenomic analysis and tests for differential selection pressure within sites and across tree branches of the viral genomes were carried out. Three well–supported clades in BCMNV and one supported clade for CABMNV were resolved and in agreement with individual gene trees. Selection pressure analysis within sites and across phylogenetic branches suggested both viruses were evolving independently, but under strong purifying selection, with a slow evolutionary rate. These findings provide valuable insights on the evolution of BCMNV and CABMV genomes and their relationship to other viral genomes globally. The results will contribute greatly to the knowledge gap involving the phylogenomic relationship of these viruses, particularly for CABMV, for which there are few genome sequences available, and inform the current breeding efforts towards resistance for BCMNV and CABMV.}} }	https://scholar.google.com/scholar?&q=Evolutionary+insights+of+Bean+common+mosaic+necrosis+virus+and+Cowpea+aphid-borne+mosaic+virus+from+the+western+highlands+of+Kenya
SRA-483	Evolutionary network genomics of wood formation in a phylogenetic survey of angiosperm forest trees	@article{Zinkgraf2020Dec,         author = {Zinkgraf, Matthew and Zhao, Shu-Tang and Canning, Courtney and Gerttula, Suzanne and Lu, Meng-Zhu and Filkov, Vladimir and Groover, Andrew},         title = {{Evolutionary network genomics of wood formation in a phylogenetic survey of angiosperm forest trees}},         journal = {New Phytologist},         volume = {228},         number = {6},         pages = {1811--1823},         year = {2020},         month = {Dec},         issn = {0028-646X},         publisher = {John Wiley & Sons, Ltd},         doi = {10.1111/nph.16819},         abstract = {{Wood formation was present in early angiosperms, but has been highly modified through evolution to generate the anatomical diversity seen in extant angiosperm lineages. In this project, we modeled changes in gene coexpression relationships associated with the evolution of wood formation in a phylogenetic survey of 13 angiosperm tree species. Gravitropic stimulation was used as an experimental treatment to alter wood formation and also perturb gene expression. Gene transcript abundances were determined using RNA sequencing of developing wood tissues from upright trees, and from the top (tension wood) and bottom (opposite wood) tissues of gravistimulated trees. A network-based approach was employed to align gene coexpression networks across species based on orthologous relationships. A large-scale, multilayer network was modeled that identified both lineage-specific gene coexpression modules and modules conserved across multiple species. Functional annotation and analysis of modules identified specific regulatory processes associated with conserved modules, including regulation of hormones, protein phosphorylation, meristem development and epigenetic processes. Our results provide novel insights into the evolution and development of wood formation, and demonstrate the ability to identify biological processes and genes important for the evolution of a foundational trait in nonmodel, undomesticated forest trees.}} }	https://scholar.google.com/scholar?&q=Evolutionary+network+genomics+of+wood+formation+in+a+phylogenetic+survey+of+angiosperm+forest+trees
SRA-513	From Acorus to Zingiber - Assembling the Phylogeny of the Monocots	No existe	https://scholar.google.com/scholar?&q=From+Acorus+to+Zingiber+-+Assembling+the+Phylogeny+of+the+Monocots
SRA-570	Generating a phylogenetic hypothesis for Inga using targeted enrichment data	@article{Nicholls2015Sep,         author = {Nicholls, James A. and Pennington, R. Toby and Koenen, Erik Jozef and Hughes, Colin Edward and Hearn, Jack and Bunnefeld, Lynsey and Dexter, Kyle Graham and Stone, Graham Nicholas and Kidner, Catherine Anne},         title = {{Using targeted enrichment of nuclear genes to increase phylogenetic resolution in the neotropical rain forest genus Inga (Leguminosae: Mimosoideae)}},         journal = {Frontiers in Plant Science},         volume = {6},         year = {2015},         month = {Sep},         issn = {1664-462X},         publisher = {Frontiers},         doi = {10.3389/fpls.2015.00710},         abstract = {{Evolutionary radiations are prominent and pervasive across many plant lineages in diverse geographical and ecological settings; in neotropical rainforests there is growing evidence suggesting that a significant fraction of species richness is the result of recent radiations. Understanding the evolutionary trajectories and mechanisms underlying these radiations demands much greater phylogenetic resolution than is currently available for these groups. The neotropical tree genus Inga (Leguminosae) is a good example, with ~300 extant species and a crown age of 2-10 MY, yet over 6kb of plastid and nuclear DNA sequence data gives only poor phylogenetic resolution among species. Here we explore the use of larger-scale nuclear gene data obtained though targeted enrichment to increase phylogenetic resolution within Inga. Transcriptome data from three Inga species were used to select 264 nuclear loci for targeted enrichment and sequencing. Following quality control to remove probable paralogs from these sequence data, the final dataset comprised 259,313 bases from 194 loci for 24 accessions representing 22 Inga species and an outgroup (Zygia). Bayesian phylogenies reconstructed using either all loci concatenated or a subset of 60 loci in a gene-tree/species-tree approach yielded highly resolved phylogenies. We used coalescent approaches to show that the same targeted enrichment data also have significant power to discriminate among alternative within-species population histories in the widespread species I. umbellifera. In either application, targeted enrichment simplifies the informatics challenge of identifying orthologous loci associated with de novo genome sequencing. We conclude that targeted enrichment provides the large volumes of phylogenetically-informative sequence data required to resolve relationships within recent plant species radiations, both at the species level and for within-species phylogeographic studies.}} }	https://scholar.google.com/scholar?&q=Generating+a+phylogenetic+hypothesis+for+Inga+using+targeted+enrichment+data
SRA-582	Genome assembly and re-sequencing of Diplacus aurantiacus species complex	No existe	https://scholar.google.com/scholar?&q=Genome+assembly+and+re-sequencing+of+Diplacus+aurantiacus+species+complex
SRA-583	Genome diversity of tuber bearing Solanum uncovers complex evolutionary history and targets of domestication in the cultivated potato	@article{Hardigan2017Nov,         author = {Hardigan, Michael A. and Laimbeer, F. Parker E. and Newton, Linsey and Crisovan, Emily and Hamilton, John P. and Vaillancourt, Brieanne and Wiegert-Rininger, Krystle and Wood, Joshua C. and Douches, David S. and Farré, Eva M. and Veilleux, Richard E. and Buell, C. Robin},         title = {{Genome diversity of tuber-bearing Solanum uncovers complex evolutionary history and targets of domestication in the cultivated potato}},         journal = {Proceedings of the National Academy of Sciences},         volume = {114},         number = {46},         pages = {E9999--E10008},         year = {2017},         month = {Nov},         issn = {0027-8424},         publisher = {National Academy of Sciences},         doi = {10.1073/pnas.1714380114},         abstract = {{Cultivated potatoes (Solanum tuberosum L.), domesticated from wild Solanum species native to the Andes of southern Peru, possess a diverse gene pool representing more than 100 tuber-bearing relatives (Solanum section Petota). A diversity panel of wild species, landraces, and cultivars was sequenced to assess genetic variation within tuber-bearing Solanum and the impact of domestication on genome diversity and identify key loci selected for cultivation in North and South America. Sequence diversity of diploid and tetraploid S. tuberosum exceeded any crop resequencing study to date, in part due to expanded wild introgressions following polyploidy that captured alleles outside of their geographic origin. We identified 2,622 genes as under selection, with only 14–16% shared by North American and Andean cultivars, showing that a limited gene set drove early improvement of cultivated potato, while adaptation of upland (S. tuberosum group Andigena) and lowland (S. tuberosum groups Chilotanum and Tuberosum) populations targeted distinct loci. Signatures of selection were uncovered in genes controlling carbohydrate metabolism, glycoalkaloid biosynthesis, the shikimate pathway, the cell cycle, and circadian rhythm. Reduced sexual fertility that accompanied the shift to asexual reproduction in cultivars was reflected by signatures of selection in genes regulating pollen development/gametogenesis. Exploration of haplotype diversity at potato’s maturity locus (StCDF1) revealed introgression of truncated alleles from wild species, particularly S. microdontum in long-day–adapted cultivars. This study uncovers a historic role of wild Solanum species in the diversification of long-day–adapted tetraploid potatoes, showing that extant natural populations represent an essential source of untapped adaptive potential.}} }	https://scholar.google.com/scholar?&q=Genome+diversity+of+tuber+bearing+Solanum+uncovers+complex+evolutionary+history+and+targets+of+domestication+in+the+cultivated+potato
SRA-622	Genomic analyses overturn two long-standing homoploid hybrid speciation hypotheses	@article{Goulet-Scott2021Jun,         author = {Goulet-Scott, Benjamin E. and Garner, Austin G. and Hopkins, Robin},         title = {{Genomic analyses overturn two long-standing homoploid hybrid speciation hypotheses}},         journal = {Evolution},         volume = {n/a},         number = {n/a},         year = {2021},         month = {Jun},         issn = {0014-3820},         publisher = {John Wiley & Sons, Ltd},         doi = {10.1111/evo.14279},         abstract = {{The importance of hybridization in generating biological diversity has been historically controversial. Previously, inference about hybridization was limited by dependence on morphological data; with the advent of the next-generation sequencing tools for nonmodel organisms, the evolutionary significance of hybridization is more evident. Here, we test classic hypotheses of hybrid origins of two species in the Phlox pilosa complex. Morphological intermediacy motivated the hypotheses that Phlox amoena lighthipei and Phlox pilosa deamii were independent homoploid hybrid lineages derived from P. amoena amoena and P. pilosa pilosa. We use double-digest restriction site-associated DNA sequencing of individuals from throughout the range of these taxa to conduct the most thorough analysis of evolutionary history in this system to date. Surprisingly, we find no support for the hybrid origin of P. pilosa deamii or P. amoena lighthipei. Our data do identify a history of admixture in individuals collected at a contemporary hybrid zone between the putative parent lineages. We show that three very different evolutionary histories, only one of which involves hybrid origin, have produced intermediate or recombinant morphological traits between P. amoena amoena and P. pilosa pilosa. Although morphological data are still an efficient means of generating hypotheses about past gene flow, genomic data are now the standard of evidence for elucidating evolutionary history.}} }	https://scholar.google.com/scholar?&q=Genomic+analyses+overturn+two+long-standing+homoploid+hybrid+speciation+hypotheses
SRA-624	Genomic short read sequencing for unravelling a timeline for Tillandsia evolution	No existe	https://scholar.google.com/scholar?&q=Genomic+short+read+sequencing+for+unravelling+a+timeline+for+Tillandsia+evolution
SRA-625	Genomic signatures of the evolution of defence against its natural enemies in the poisonous and medicinal plant Datura stramonium (Solanaceae)	Out of scope	https://scholar.google.com/scholar?&q=Genomic+signatures+of+the+evolution+of+defence+against+its+natural+enemies+in+the+poisonous+and+medicinal+plant+Datura+stramonium+%28Solanaceae%29
SRA-630	Genotyping-by-sequencing and ecological niche modeling illuminate phylogeography, admixture, and Pleistocene range dynamics in quaking aspen (Populus tremuloides)	@article{Bagley2020Jun,         author = {Bagley, Justin C. and Heming, Neander M. and Gutiérrez, Eliécer E. and Devisetty, Upendra K. and Mock, Karen E. and Eckert, Andrew J. and Strauss, Steven H.},         title = {{Genotyping-by-sequencing and ecological niche modeling illuminate phylogeography, admixture, and Pleistocene range dynamics in quaking aspen (Populus tremuloides)}},         journal = {Ecology and Evolution},         volume = {10},         number = {11},         pages = {4609--4629},         year = {2020},         month = {Jun},         issn = {2045-7758},         publisher = {John Wiley & Sons, Ltd},         doi = {10.1002/ece3.6214},         abstract = {{Populus tremuloides is the widest-ranging tree species in North America and an ecologically important component of mesic forest ecosystems displaced by the Pleistocene glaciations. Using phylogeographic analyses of genome-wide SNPs (34,796 SNPs, 183 individuals) and ecological niche modeling, we inferred population structure, ploidy levels, admixture, and Pleistocene range dynamics of P. tremuloides, and tested several historical biogeographical hypotheses. We found three genetic lineages located mainly in coastal–Cascades (cluster 1), east-slope Cascades–Sierra Nevadas–Northern Rockies (cluster 2), and U.S. Rocky Mountains through southern Canadian (cluster 3) regions of the P. tremuloides range, with tree graph relationships of the form ((cluster 1, cluster 2), cluster 3). Populations consisted mainly of diploids (86%) but also small numbers of triploids (12%) and tetraploids (1%), and ploidy did not adversely affect our genetic inferences. The main vector of admixture was from cluster 3 into cluster 2, with the admixture zone trending northwest through the Rocky Mountains along a recognized phenotypic cline (Utah to Idaho). Clusters 1 and 2 provided strong support for the “stable-edge hypothesis” that unglaciated southwestern populations persisted in situ since the last glaciation. By contrast, despite a lack of clinal genetic variation, cluster 3 exhibited “trailing-edge” dynamics from niche suitability predictions signifying complete northward postglacial expansion. Results were also consistent with the “inland dispersal hypothesis” predicting postglacial assembly of Pacific Northwestern forest ecosystems, but rejected the hypothesis that Pacific-coastal populations were colonized during outburst flooding from glacial Lake Missoula. Overall, congruent patterns between our phylogeographic and ecological niche modeling results and fossil pollen data demonstrate complex mixtures of stable-edge, refugial locations, and postglacial expansion within P. tremuloides. These findings confirm and refine previous genetic studies, while strongly supporting a distinct Pacific-coastal genetic lineage of quaking aspen.}} }	https://scholar.google.com/scholar?&q=Genotyping-by-sequencing+and+ecological+niche+modeling+illuminate+phylogeography%2C+admixture%2C+and+Pleistocene+range+dynamics+in+quaking+aspen+%28Populus+tremuloides%29
SRA-678	High-throughput sequencing data clarify evolutionary relationships among North American Vitis species and improve identification in USDA Vitis germplasm collections	@article{Klein2018Feb,         author = {Klein, Laura L. and Miller, Allison J. and Ciotir, Claudia and Hyma, Katie and Uribe-Convers, Simon and Londo, Jason},         title = {{High-throughput sequencing data clarify evolutionary relationships among North American Vitis species and improve identification in USDA Vitis germplasm collections}},         journal = {American Journal of Botany},         volume = {105},         number = {2},         pages = {215--226},         year = {2018},         month = {Feb},         issn = {0002-9122},         publisher = {John Wiley & Sons, Ltd},         doi = {10.1002/ajb2.1033},         abstract = {{Premise Of The Study Grapes are one of the most economically important berry crops worldwide, with the vast majority of production derived from the domesticated Eurasian species Vitis vinifera. Expansion of production into new areas, development of new cultivars, and concerns about adapting grapevines for changing climates necessitate the use of wild grapevine species in breeding programs. Diversity within Vitis has long been a topic of study; however, questions remain regarding relationships between species. Furthermore, the identity of some living accessions is unclear. Methods This study generated 11,020 single nucleotide polymorphism (SNP) markers for more than 300 accessions in the USDA-ARS grape germplasm repository using genotyping-by-sequencing. Resulting data sets were used to reconstruct evolutionary relationships among several North American and Eurasian Vitis species, and to suggest taxonomic labels for previously unidentified and misidentified germplasm accessions based on genetic distance. Key Results Maximum likelihood analyses of SNP data support the monophyly of Vitis, subg. Vitis, a Eurasian subg. Vitis clade, and a North American subg. Vitis clade. Data delineate species groups within North America. In addition, analysis of genetic distance suggested taxonomic identities for 20 previously unidentified Vitis accessions and for 28 putatively misidentified accessions. Conclusions This work advances understanding of Vitis evolutionary relationships and provides the foundation for ongoing germplasm enhancement. It supports conservation and breeding efforts by contributing to a growing genetic framework for identifying novel genetic variation and for incorporating new, unsampled populations into the germplasm repository system.}} }	https://scholar.google.com/scholar?&q=High-throughput+sequencing+data+clarify+evolutionary+relationships+among+North+American+Vitis+species+and+improve+identification+in+USDA+Vitis+germplasm+collections
SRA-681	Horizontal Transfer Of DNA From The Mitochondrial To The Plastid Genome And Its Subsequent Evolution In Milkweeds (Apocynaceae)	@article{Straub2013Oct,         author = {Straub, Shannon C. K. and Cronn, Richard C. and Edwards, Christopher and Fishbein, Mark and Liston, Aaron},         title = {{Horizontal Transfer of DNA from the Mitochondrial to the Plastid Genome and Its Subsequent Evolution in Milkweeds (Apocynaceae)}},         journal = {Genome Biology and Evolution},         volume = {5},         number = {10},         pages = {1872--1885},         year = {2013},         month = {Oct},         issn = {1759-6653},         publisher = {Oxford Academic},         doi = {10.1093/gbe/evt140},         abstract = {{Horizontal gene transfer (HGT) of DNA from the plastid to the nuclear and mitochondrial genomes of higher plants is a common phenomenon; however, plastid genomes (plastomes) are highly conserved and have generally been regarded as impervious to HGT. We sequenced the 158 kb plastome and the 690 kb mitochondrial genome of common milkweed (Asclepias syriaca [Apocynaceae]) and found evidence of intracellular HGT for a 2.4-kb segment of mitochondrial DNA to the rps2–rpoC2 intergenic spacer of the plastome. The transferred region contains an rpl2 pseudogene and is flanked by plastid sequence in the mitochondrial genome, including an rpoC2 pseudogene, which likely provided the mechanism for HGT back to the plastome through double-strand break repair involving homologous recombination. The plastome insertion is restricted to tribe Asclepiadeae of subfamily Asclepiadoideae, whereas the mitochondrial rpoC2 pseudogene is present throughout the subfamily, which confirms that the plastid to mitochondrial HGT event preceded the HGT to the plastome. Although the plastome insertion has been maintained in all lineages of Asclepiadoideae, it shows minimal evidence of transcription in A. syriaca and is likely nonfunctional. Furthermore, we found recent gene conversion of the mitochondrial rpoC2 pseudogene in Asclepias by the plastid gene, which reflects continued interaction of these genomes.}} }	https://scholar.google.com/scholar?&q=Horizontal+Transfer+Of+DNA+From+The+Mitochondrial+To+The+Plastid+Genome+And+Its+Subsequent+Evolution+In+Milkweeds+%28Apocynaceae%29
SRA-685	Hyb-Seq: Combining target enrichment and genome skimming for plant phylogenomics	@article{Weitemier2014Sep,         author = {Weitemier, Kevin and Straub, Shannon C. K. and Cronn, Richard C. and Fishbein, Mark and Schmickl, Roswitha and McDonnell, Angela and Liston, Aaron},         title = {{Hyb-Seq: Combining target enrichment and genome skimming for plant phylogenomics}},         journal = {Applications in Plant Sciences},         volume = {2},         number = {9},         pages = {1400042},         year = {2014},         month = {Sep},         issn = {2168-0450},         publisher = {John Wiley & Sons, Ltd},         doi = {10.3732/apps.1400042},         abstract = {{Premise of the study: Hyb-Seq, the combination of target enrichment and genome skimming, allows simultaneous data collection for low-copy nuclear genes and high-copy genomic targets for plant systematics and evolution studies. Methods and Results: Genome and transcriptome assemblies for milkweed (Asclepias syriaca) were used to design enrichment probes for 3385 exons from 768 genes (>1.6 Mbp) followed by Illumina sequencing of enriched libraries. Hyb-Seq of 12 individuals (10 Asclepias species and two related genera) resulted in at least partial assembly of 92.6% of exons and 99.7% of genes and an average assembly length >2 Mbp. Importantly, complete plastomes and nuclear ribosomal DNA cistrons were assembled using off-target reads. Phylogenomic analyses demonstrated signal conflict between genomes. Conclusions: The Hyb-Seq approach enables targeted sequencing of thousands of low-copy nuclear exons and flanking regions, as well as genome skimming of high-copy repeats and organellar genomes, to efficiently produce genome-scale data sets for phylogenomics.}} }	https://scholar.google.com/scholar?&q=Hyb-Seq%3A+Combining+target+enrichment+and+genome+skimming+for+plant+phylogenomics
SRA-686	Hybrid capture phylogenomics of the mimosoid clade (Leguminosae)	@article{Koenen2020Dec,         author = {Koenen, Erik J. M. and Kidner, Catherine and de Souza, Élvia R. and Simon, Marcelo F. and Iganci, João R. and Nicholls, James A. and Brown, Gillian K. and de Queiroz, Luciano P. and Luckow, Melissa and Lewis, Gwilym P. and Pennington, R. Toby and Hughes, Colin E.},         title = {{Hybrid capture of 964 nuclear genes resolves evolutionary relationships in the mimosoid legumes and reveals the polytomous origins of a large pantropical radiation}},         journal = {American Journal of Botany},         volume = {107},         number = {12},         pages = {1710--1735},         year = {2020},         month = {Dec},         issn = {0002-9122},         publisher = {John Wiley & Sons, Ltd},         doi = {10.1002/ajb2.1568},         abstract = {{PREMISE Targeted enrichment methods facilitate sequencing of hundreds of nuclear loci to enhance phylogenetic resolution and elucidate why some parts of the “tree of life” are difficult (if not impossible) to resolve. The mimosoid legumes are a prominent pantropical clade of ~3300 species of woody angiosperms for which previous phylogenies have shown extensive lack of resolution, especially among the species-rich and taxonomically challenging ingoids. METHODS We generated transcriptomes to select low-copy nuclear genes, enrich these via hybrid capture for representative species of most mimosoid genera, and analyze the resulting data using de novo assembly and various phylogenomic tools for species tree inference. We also evaluate gene tree support and conflict for key internodes and use phylogenetic network analysis to investigate phylogenetic signal across the ingoids. RESULTS Our selection of 964 nuclear genes greatly improves phylogenetic resolution across the mimosoid phylogeny and shows that the ingoid clade can be resolved into several well-supported clades. However, nearly all loci show lack of phylogenetic signal for some of the deeper internodes within the ingoids. CONCLUSIONS Lack of resolution in the ingoid clade is most likely the result of hyperfast diversification, potentially causing a hard polytomy of six or seven lineages. The gene set for targeted sequencing presented here offers great potential to further enhance the phylogeny of mimosoids and the wider Caesalpinioideae with denser taxon sampling, to provide a framework for taxonomic reclassification, and to study the ingoid radiation.}} }	https://scholar.google.com/scholar?&q=Hybrid+capture+phylogenomics+of+the+mimosoid+clade+%28Leguminosae%29
SRA-689	Hybseq reveal relationships within the grape family (Vitacea)	@article{Ma2021Jan,         author = {Ma, Zhi-Yao and Nie, Ze-Long and Ren, Chen and Liu, Xiu-Qun and Zimmer, Elizabeth A. and Wen, Jun},         title = {{Phylogenomic relationships and character evolution of the grape family (Vitaceae)}},         journal = {Molecular Phylogenetics and Evolution},         volume = {154},         pages = {106948},         year = {2021},         month = {Jan},         issn = {1055-7903},         publisher = {Academic Press},         doi = {10.1016/j.ympev.2020.106948},         abstract = {{The grape family consists of 16 genera and ca. 950 species. It is best known for the economically important fruit crop – the grape Vitis vinifera. The deep phylogenetic relationships and character evolution of the grape family have attracted the attention of researchers in recent years. We herein reconstruct the phylogenomic relationships within Vitaceae using nuclear and plastid genes based on the Hyb-Seq approach and test the newly proposed classification system of the family. The five tribes of the grape family, including Ampelopsideae, Cayratieae, Cisseae, Parthenocisseae, and Viteae, are each robustly supported by both nuclear and chloroplast genomic data and the backbone relationships are congruent with previous reports. The cupular floral disc (raised above and free from ovary at the upper part) is an ancestral state of Vitaceae, with the inconspicuous floral disc as derived in the tribe Parthenocisseae, and the state of adnate to the ovary as derived in the tribe Viteae. The 5-merous floral pattern was inferred to be the ancestral in Vitaceae, with the 4-merous flowers evolved at least two times in the family. The compound dichasial cyme (cymose with two secondary axes) is ancestral in Vitaceae and the thyrse inflorescence (a combination of racemose and cymose branching) in tribe Viteae is derived. The ribbon-like trichome only evolved once in Vitaceae, as a synapomorphy for the tribe Viteae. Graphical abstract Download : Download high-res image (319KB)Download : Download full-size image}} }	https://scholar.google.com/scholar?&q=Hybseq+reveal+relationships+within+the+grape+family+%28Vitacea%29
SRA-725	International Consortium on Evolution of Root Nodule Symbiosis	No existe	https://scholar.google.com/scholar?&q=International+Consortium+on+Evolution+of+Root+Nodule+Symbiosis
