,title,REVISADO (bibtex citation),Google link,Taxonomy,Systematic,Mexico,Morphology,First gen.,Second gen.,Third gen.,Nuclear info,Chloroplast info,Parsimony,Maximum likelihood,Bayesian,MSC
1792,Chloroplast phylogenomics of the Amaranthus genus,,https://scholar.google.com/scholar?&q=Chloroplast+phylogenomics+of+the+Amaranthus+genus,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
1793,"Chloroplast phylogenomics of the New World grape species (Vitis, Vitaceae)",,https://scholar.google.com/scholar?&q=Chloroplast+phylogenomics+of+the+New+World+grape+species+%28Vitis%2C+Vitaceae%29,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
1794,Chloroplast phylogeny of Cucurbita: Evolution of the domesticated and wild species,,https://scholar.google.com/scholar?&q=Chloroplast+phylogeny+of+Cucurbita%3A+Evolution+of+the+domesticated+and+wild+species,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
1795,"Chloroplast phylogeny of asplenioid ferns based on rbcL and trnL-F spacer sequences (Polypodiidae, Aspleniaceae) and its implications for biogeography",,https://scholar.google.com/scholar?&q=Chloroplast+phylogeny+of+asplenioid+ferns+based+on+rbcL+and+trnL-F+spacer+sequences+%28Polypodiidae%2C+Aspleniaceae%29+and+its+implications+for+biogeography,?,Auto,?,?,Auto,?,?,?,Auto,?,?,?,?
1796,Chloroplast phylogeography of Dirca palustris L. indicates populations near the glacial boundary at the Last Glacial Maximum in eastern North America,,https://scholar.google.com/scholar?&q=Chloroplast+phylogeography+of+Dirca+palustris+L.+indicates+populations+near+the+glacial+boundary+at+the+Last+Glacial+Maximum+in+eastern+North+America,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
1797,Chloroplast phylogeography of New Zealand Sophora trees (Fabaceae): extensive hybridization and widespread LGM survival,,https://scholar.google.com/scholar?&q=Chloroplast+phylogeography+of+New+Zealand+Sophora+trees+%28Fabaceae%29%3A+extensive+hybridization+and+widespread+LGM+survival,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
1802,Chloroplast rps16 intron phylogeny of the tribe Sileneae (Caryophyllaceae),,https://scholar.google.com/scholar?&q=Chloroplast+rps16+intron+phylogeny+of+the+tribe+Sileneae+%28Caryophyllaceae%29,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
1808,"Chloroplast-Expressed Glutamine Synthetase in Glycine and Related Leguminosae: Phylogeny, Gene Duplication, and Ancient Polyploidy",,https://scholar.google.com/scholar?&q=Chloroplast-Expressed+Glutamine+Synthetase+in+Glycine+and+Related+Leguminosae%3A+Phylogeny%2C+Gene+Duplication%2C+and+Ancient+Polyploidy,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
1811,Cholorplast phylogeny of derived mimosoids,,https://scholar.google.com/scholar?&q=Cholorplast+phylogeny+of+derived+mimosoids,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1813,"Chromosomal evolution, molecular phylogeny and biogeography of Sobralia (Orchidaceae, Sobraliinae) and relatives",,https://scholar.google.com/scholar?&q=Chromosomal+evolution%2C+molecular+phylogeny+and+biogeography+of+Sobralia+%28Orchidaceae%2C+Sobraliinae%29+and+relatives,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1818,Chromosome evolution in the cosmopolitan genus Lycium (Solanaceae),,https://scholar.google.com/scholar?&q=Chromosome+evolution+in+the+cosmopolitan+genus+Lycium+%28Solanaceae%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1819,Chromosome number and phylogenetic position of monotypic genus Mankyua (Ophioglossaceae),,https://scholar.google.com/scholar?&q=Chromosome+number+and+phylogenetic+position+of+monotypic+genus+Mankyua+%28Ophioglossaceae%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1820,"Chromosome number evolution in Hymenophyllum (Hymenophyllaceae), with special reference to the subgenus Hymenophyllum",,https://scholar.google.com/scholar?&q=Chromosome+number+evolution+in+Hymenophyllum+%28Hymenophyllaceae%29%2C+with+special+reference+to+the+subgenus+Hymenophyllum,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1821,Chromosome number evolves independently of genome size in a clade with nonlocalized centromeres (carex: cyperaceae),,https://scholar.google.com/scholar?&q=Chromosome+number+evolves+independently+of+genome+size+in+a+clade+with+nonlocalized+centromeres+%28carex%3A+cyperaceae%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1824,Circumscription and phylogeny of Apiaceae subfamily Saniculoideae based on chloroplast DNA sequences,,https://scholar.google.com/scholar?&q=Circumscription+and+phylogeny+of+Apiaceae+subfamily+Saniculoideae+based+on+chloroplast+DNA+sequences,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
1825,"Circumscription and phylogeny of the Elaphoglossum ciliatum group (E. sect. Lepidoglossa, Dryopteridaceae) based on cpDNA sequences",,https://scholar.google.com/scholar?&q=Circumscription+and+phylogeny+of+the+Elaphoglossum+ciliatum+group+%28E.+sect.+Lepidoglossa%2C+Dryopteridaceae%29+based+on+cpDNA+sequences,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1826,Circumscription and phylogeny of the Laurales: evidence from molecular and morphological data,,https://scholar.google.com/scholar?&q=Circumscription+and+phylogeny+of+the+Laurales%3A+evidence+from+molecular+and+morphological+data,?,Auto,?,Auto,?,?,?,?,?,?,?,?,?
1827,"Circumscription and phylogeny of the fern family Tectariaceae based on plastid and nuclear markers, with the description of two new genera: Draconopteris and Malaifilix (Tectariaceae)",,https://scholar.google.com/scholar?&q=Circumscription+and+phylogeny+of+the+fern+family+Tectariaceae+based+on+plastid+and+nuclear+markers%2C+with+the+description+of+two+new+genera%3A+Draconopteris+and+Malaifilix+%28Tectariaceae%29,?,Auto,?,?,Auto,?,?,Auto,?,?,?,?,?
1829,Circumscription of Myrtales and their relationships to other rosids: Evidence from rbcL sequence data,,https://scholar.google.com/scholar?&q=Circumscription+of+Myrtales+and+their+relationships+to+other+rosids%3A+Evidence+from+rbcL+sequence+data,?,Auto,?,?,Auto,?,?,?,Auto,?,?,?,?
1830,Circumscription of the Malvales and relationships to other Rosidae: evidence from rbcL sequence data,,https://scholar.google.com/scholar?&q=Circumscription+of+the+Malvales+and+relationships+to+other+Rosidae%3A+evidence+from+rbcL+sequence+data,?,Auto,?,?,Auto,?,?,?,Auto,?,?,?,?
1835,Clade-Specific Plastid Inheritance Patterns Including Frequent Biparental Inheritance in Passiflora Interspecific Crosses,,https://scholar.google.com/scholar?&q=Clade-Specific+Plastid+Inheritance+Patterns+Including+Frequent+Biparental+Inheritance+in+Passiflora+Interspecific+Crosses,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1836,Clade-specific positive selection on a developmental gene: BRANCHLESS TRICHOME and the evolution of stellate trichomes in Physaria (Brassicaceae),,https://scholar.google.com/scholar?&q=Clade-specific+positive+selection+on+a+developmental+gene%3A+BRANCHLESS+TRICHOME+and+the+evolution+of+stellate+trichomes+in+Physaria+%28Brassicaceae%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1837,"Clades, clocks, and continents: historical and biogeographical analysis of Myrtaceae, Vochysiaceae, and relatives in the southern hemisphere",,https://scholar.google.com/scholar?&q=Clades%2C+clocks%2C+and+continents%3A+historical+and+biogeographical+analysis+of+Myrtaceae%2C+Vochysiaceae%2C+and+relatives+in+the+southern+hemisphere,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1839,Cladistic biogeography of Gleditsia (Leguminosae) based on ndhF and rpl16 chloroplast gene sequences,,https://scholar.google.com/scholar?&q=Cladistic+biogeography+of+Gleditsia+%28Leguminosae%29+based+on+ndhF+and+rpl16+chloroplast+gene+sequences,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
1844,Clarification of the relationship beteen Apiaceae and Araliaceae based on matK and rbcL sequence data,,https://scholar.google.com/scholar?&q=Clarification+of+the+relationship+beteen+Apiaceae+and+Araliaceae+based+on+matK+and+rbcL+sequence+data,?,Auto,?,?,Auto,?,?,?,Auto,?,?,?,?
1845,Clarifying the relationships of Chichicaste grandis (Loasaceae),,https://scholar.google.com/scholar?&q=Clarifying+the+relationships+of+Chichicaste+grandis+%28Loasaceae%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1848,Class II TCP gene evolution in perianth-bearing Piperales and their contribution to the bilateral calyx in Aristolochia,,https://scholar.google.com/scholar?&q=Class+II+TCP+gene+evolution+in+perianth-bearing+Piperales+and+their+contribution+to+the+bilateral+calyx+in+Aristolochia,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1850,Classification and phylogeny of Elleanthus C. Presl,,https://scholar.google.com/scholar?&q=Classification+and+phylogeny+of+Elleanthus+C.+Presl,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
1851,Classification of Apocynaceae s.l. according to a new approach combining Linnean and Phylogenetic Taxonomy,,https://scholar.google.com/scholar?&q=Classification+of+Apocynaceae+s.l.+according+to+a+new+approach+combining+Linnean+and+Phylogenetic+Taxonomy,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
1852,"Classification of a large and widespread genus of Neotropical trees, Guatteria (Annonaceae) and its three satellite genera Guatteriella, Guatteriopsis and Heteropetalum",,https://scholar.google.com/scholar?&q=Classification+of+a+large+and+widespread+genus+of+Neotropical+trees%2C+Guatteria+%28Annonaceae%29+and+its+three+satellite+genera+Guatteriella%2C+Guatteriopsis+and+Heteropetalum,Auto,?,?,?,Auto,?,?,?,Auto,?,?,?,?
1853,"Classification of custard apple (Annona squamosa L.) in Ba Den mountain area, Tay Ninh province based on gene matK and shape flower",,https://scholar.google.com/scholar?&q=Classification+of+custard+apple+%28Annona+squamosa+L.%29+in+Ba+Den+mountain+area%2C+Tay+Ninh+province+based+on+gene+matK+and+shape+flower,Auto,?,?,?,Auto,?,?,?,Auto,?,?,?,?
1854,"Classification, origin, and patterns of diversification of Corynocarpus (Corynocarpaceae) inferred from DNA sequences",,https://scholar.google.com/scholar?&q=Classification%2C+origin%2C+and+patterns+of+diversification+of+Corynocarpus+%28Corynocarpaceae%29+inferred+from+DNA+sequences,Auto,?,?,?,?,?,?,?,?,?,?,?,?
1855,"Climate and life history evolution in evening primroses (Oenothera, Onagraceae): a phylogenetic comparative analysis",,https://scholar.google.com/scholar?&q=Climate+and+life+history+evolution+in+evening+primroses+%28Oenothera%2C+Onagraceae%29%3A+a+phylogenetic+comparative+analysis,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1856,"Climate, Niche Evolution, and Diversification of the 'Bird-Cage' Evening Primroses (Oenothera, Sections Anogra and Kleinia)",,https://scholar.google.com/scholar?&q=Climate%2C+Niche+Evolution%2C+and+Diversification+of+the+%27Bird-Cage%27+Evening+Primroses+%28Oenothera%2C+Sections+Anogra+and+Kleinia%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1857,Clock model makes a large difference to age estimates of long-stemmed clades with no internal calibration: a test using Australian grasstrees,,https://scholar.google.com/scholar?&q=Clock+model+makes+a+large+difference+to+age+estimates+of+long-stemmed+clades+with+no+internal+calibration%3A+a+test+using+Australian+grasstrees,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1858,Clock-dated phylogeny for 48% of the 700 species of Crotalaria (Fabaceae-Papilionoideae) resolves sections worldwide and implies conserved flower and leaf traits throughout its pantropical range,,https://scholar.google.com/scholar?&q=Clock-dated+phylogeny+for+48%25+of+the+700+species+of+Crotalaria+%28Fabaceae-Papilionoideae%29+resolves+sections+worldwide+and+implies+conserved+flower+and+leaf+traits+throughout+its+pantropical+range,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1862,Clone diversity and phylogeography of Stuckenia pectinata (Potamogetonaceae) in East Asia,,https://scholar.google.com/scholar?&q=Clone+diversity+and+phylogeography+of+Stuckenia+pectinata+%28Potamogetonaceae%29+in+East+Asia,?,Auto,?,?,?,?,?,?,?,?,?,?,?
1949,Cloning and characterization of Sdga gene encoding alpha-subunit of heterotrimeric guanosine 5'-triphosphate-binding protein complex in Scoparia dulcis,,https://scholar.google.com/scholar?&q=Cloning+and+characterization+of+Sdga+gene+encoding+alpha-subunit+of+heterotrimeric+guanosine+5%27-triphosphate-binding+protein+complex+in+Scoparia+dulcis,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2249,Closing the gaps: Phylogenetic relationships in the Brassicaceae based on DNA sequence data of nuclear ribosomal ITS region,,https://scholar.google.com/scholar?&q=Closing+the+gaps%3A+Phylogenetic+relationships+in+the+Brassicaceae+based+on+DNA+sequence+data+of+nuclear+ribosomal+ITS+region,?,Auto,?,?,?,?,?,Auto,?,?,?,?,?
2259,Codependence of repetitive sequence classes in genomes: phylogenetic analysis of 5S rDNA families in Hordeum (Triticeae: Poaceae),,https://scholar.google.com/scholar?&q=Codependence+of+repetitive+sequence+classes+in+genomes%3A+phylogenetic+analysis+of+5S+rDNA+families+in+Hordeum+%28Triticeae%3A+Poaceae%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2260,Coding and noncoding plastid DNA in palm systematics,,https://scholar.google.com/scholar?&q=Coding+and+noncoding+plastid+DNA+in+palm+systematics,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2261,Coding of insertion-deletion events of the chloroplastic intergene atp beta-rbcL for the phylogeny of the Valerianeae tribe (Valerianaceae),,https://scholar.google.com/scholar?&q=Coding+of+insertion-deletion+events+of+the+chloroplastic+intergene+atp+beta-rbcL+for+the+phylogeny+of+the+Valerianeae+tribe+%28Valerianaceae%29,?,Auto,?,?,Auto,?,?,?,Auto,?,?,?,?
2268,"Coevolution between nuclear encoded DNA replication, recombination and repair genes and plastid genome complexity",,https://scholar.google.com/scholar?&q=Coevolution+between+nuclear+encoded+DNA+replication%2C+recombination+and+repair+genes+and+plastid+genome+complexity,?,Auto,?,?,?,?,?,Auto,?,?,?,?,?
2269,Coevolution between plastid and nuclear genomes in Geraniaceae,,https://scholar.google.com/scholar?&q=Coevolution+between+plastid+and+nuclear+genomes+in+Geraniaceae,?,Auto,?,?,?,?,?,Auto,?,?,?,?,?
2270,Coevolution of Helconius spp. and Passiflora spp.: A phylogenetic comparison,,https://scholar.google.com/scholar?&q=Coevolution+of+Helconius+spp.+and+Passiflora+spp.%3A+A+phylogenetic+comparison,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2273,"Collapse of Isertiaea, re-establishment of Mussaendeae, and a new genus of Sabiceeae (Rubiaceae); Phylogenetic relationships based on rbcL dataPlant. Syst. Evol",,https://scholar.google.com/scholar?&q=Collapse+of+Isertiaea%2C+re-establishment+of+Mussaendeae%2C+and+a+new+genus+of+Sabiceeae+%28Rubiaceae%29%3B+Phylogenetic+relationships+based+on+rbcL+dataPlant.+Syst.+Evol,?,Auto,?,?,Auto,?,?,?,Auto,?,?,?,?
2276,"Colonization, Baker's law, and the evolution of gynodioecy in Hawaii: implications from a study of Lycium carolinianum",,https://scholar.google.com/scholar?&q=Colonization%2C+Baker%27s+law%2C+and+the+evolution+of+gynodioecy+in+Hawaii%3A+implications+from+a+study+of+Lycium+carolinianum,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2277,"Color by Numbers: Nuclear Gene Phylogeny of Jaltomata (Solanaceae), Sister Genus to Solanum, Supports Three Clades Differing in Fruit Color",,https://scholar.google.com/scholar?&q=Color+by+Numbers%3A+Nuclear+Gene+Phylogeny+of+Jaltomata+%28Solanaceae%29%2C+Sister+Genus+to+Solanum%2C+Supports+Three+Clades+Differing+in+Fruit+Color,?,Auto,?,?,?,?,?,Auto,?,?,?,?,?
2279,Combination of Sanger and target-enrichment markers supports revised generic delimitation in the problematic 'Urera clade' of the nettle family (Urticaceae),,https://scholar.google.com/scholar?&q=Combination+of+Sanger+and+target-enrichment+markers+supports+revised+generic+delimitation+in+the+problematic+%27Urera+clade%27+of+the+nettle+family+%28Urticaceae%29,Auto,Auto,?,?,Auto,?,?,?,?,?,?,?,?
2282,Combined genotypic-phenotypic phylogeny of the tribe Spathicarpeae (Araceae) with reference to independent events of invasion to Andean regions,,https://scholar.google.com/scholar?&q=Combined+genotypic-phenotypic+phylogeny+of+the+tribe+Spathicarpeae+%28Araceae%29+with+reference+to+independent+events+of+invasion+to+Andean+regions,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2283,Combined molecular and morphological phylogenetic analyses of the Blakeeae (Melastomataceae),,https://scholar.google.com/scholar?&q=Combined+molecular+and+morphological+phylogenetic+analyses+of+the+Blakeeae+%28Melastomataceae%29,?,Auto,?,Auto,?,?,?,?,?,?,?,?,?
2284,"Combined phylogenetic analysis in the Rubiaceae-Ixoroideae: morphology, nuclear and chloroplast DNA data",,https://scholar.google.com/scholar?&q=Combined+phylogenetic+analysis+in+the+Rubiaceae-Ixoroideae%3A+morphology%2C+nuclear+and+chloroplast+DNA+data,?,Auto,?,Auto,?,?,?,Auto,Auto,?,?,?,?
2286,"Combining bioinformatics and phylogenetics to identify large sets of single-copy orthologous genes (COSII) for comparative, evolutionary and systematic studies: a test case in the euasterid plant clade",,https://scholar.google.com/scholar?&q=Combining+bioinformatics+and+phylogenetics+to+identify+large+sets+of+single-copy+orthologous+genes+%28COSII%29+for+comparative%2C+evolutionary+and+systematic+studies%3A+a+test+case+in+the+euasterid+plant+clade,?,Auto,?,?,Auto,?,?,Auto,?,?,?,?,?
2287,Combining data from DNA sequences and morphology for a phylogeny of Moringaceae (Brassicales),,https://scholar.google.com/scholar?&q=Combining+data+from+DNA+sequences+and+morphology+for+a+phylogeny+of+Moringaceae+%28Brassicales%29,?,Auto,?,Auto,?,?,?,?,?,?,?,?,?
2288,Combining data in phylogenetic systematics: an empirical approach using three molecular data sets in the Solanaceae,,https://scholar.google.com/scholar?&q=Combining+data+in+phylogenetic+systematics%3A+an+empirical+approach+using+three+molecular+data+sets+in+the+Solanaceae,?,Auto,?,?,Auto,?,?,Auto,?,?,?,?,?
2289,"Combining historical biogeography with niche modeling in the Caprifolium clade of Lonicera (Caprifoliaceae, Dipsacales)",,https://scholar.google.com/scholar?&q=Combining+historical+biogeography+with+niche+modeling+in+the+Caprifolium+clade+of+Lonicera+%28Caprifoliaceae%2C+Dipsacales%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2290,"Combining natal range distributions and phylogeny to resolve biogeographic uncertainties in balloon vines (Cardiospermum, Sapindaceae)",,https://scholar.google.com/scholar?&q=Combining+natal+range+distributions+and+phylogeny+to+resolve+biogeographic+uncertainties+in+balloon+vines+%28Cardiospermum%2C+Sapindaceae%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2292,Community assembly meets biogeography: Malpighiaceae and the origin of the Mexican seasonal dry tropical forest,,https://scholar.google.com/scholar?&q=Community+assembly+meets+biogeography%3A+Malpighiaceae+and+the+origin+of+the+Mexican+seasonal+dry+tropical+forest,?,Auto,?,?,Auto,?,?,Auto,?,?,?,?,?
2293,Community phylogenetics at Jurua,,https://scholar.google.com/scholar?&q=Community+phylogenetics+at+Jurua,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2294,Community phylogeny of the globally critically imperiled pine rockland ecosystem,,https://scholar.google.com/scholar?&q=Community+phylogeny+of+the+globally+critically+imperiled+pine+rockland+ecosystem,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2295,Compact genomes and complex evolution in the genus Brachypodium,,https://scholar.google.com/scholar?&q=Compact+genomes+and+complex+evolution+in+the+genus+Brachypodium,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2303,Comparative Chloroplast Genomics of Gossypium Species: Insights Into Repeat Sequence Variations and Phylogeny,,https://scholar.google.com/scholar?&q=Comparative+Chloroplast+Genomics+of+Gossypium+Species%3A+Insights+Into+Repeat+Sequence+Variations+and+Phylogeny,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
2308,Comparative Phylogenetic Analysis of Nuclear and Plastid Sequences in Passiflora (Passifloraceae),,https://scholar.google.com/scholar?&q=Comparative+Phylogenetic+Analysis+of+Nuclear+and+Plastid+Sequences+in+Passiflora+%28Passifloraceae%29,?,Auto,?,?,?,?,?,Auto,?,?,?,?,?
2312,Comparative analyses of plastid genomes from fourteen Cornales species: inferences for phylogenetic relationships and genome evolution,,https://scholar.google.com/scholar?&q=Comparative+analyses+of+plastid+genomes+from+fourteen+Cornales+species%3A+inferences+for+phylogenetic+relationships+and+genome+evolution,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2322,Comparative analysis of late floral development and mating-system evolution in tribe Collinsieae (Scrophulariaceae s.l.),,https://scholar.google.com/scholar?&q=Comparative+analysis+of+late+floral+development+and+mating-system+evolution+in+tribe+Collinsieae+%28Scrophulariaceae+s.l.%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2323,Comparative analysis of legume genome evolution in the vicinity of a disease resistance gene cluster,,https://scholar.google.com/scholar?&q=Comparative+analysis+of+legume+genome+evolution+in+the+vicinity+of+a+disease+resistance+gene+cluster,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2326,Comparative analysis of structural diversity and sequence evolution in plant mitochondrial genes transferred to the nucleus,,https://scholar.google.com/scholar?&q=Comparative+analysis+of+structural+diversity+and+sequence+evolution+in+plant+mitochondrial+genes+transferred+to+the+nucleus,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2331,"Comparative anatomy, morphology, and molecular phylogenetics of the African genus Satanocrater (Acanthaceae)",,https://scholar.google.com/scholar?&q=Comparative+anatomy%2C+morphology%2C+and+molecular+phylogenetics+of+the+African+genus+Satanocrater+%28Acanthaceae%29,?,Auto,?,Auto,?,?,?,?,?,?,?,?,?
2332,"Comparative and Phylogenetic Analysis of Complete Chloroplast Genomes in Eragrostideae (Chloridoideae, Poaceae)",,https://scholar.google.com/scholar?&q=Comparative+and+Phylogenetic+Analysis+of+Complete+Chloroplast+Genomes+in+Eragrostideae+%28Chloridoideae%2C+Poaceae%29,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
2333,Comparative and phylogenetic analysis of the complete chloroplast genome of Wolffia brasiliensis (duckweed) with Araceae,,https://scholar.google.com/scholar?&q=Comparative+and+phylogenetic+analysis+of+the+complete+chloroplast+genome+of+Wolffia+brasiliensis+%28duckweed%29+with+Araceae,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
2335,Comparative chloroplast genomes of photosynthetic orchids: insights into evolution of the orchidaceae and development of molecular markers for phylogenetic applications,,https://scholar.google.com/scholar?&q=Comparative+chloroplast+genomes+of+photosynthetic+orchids%3A+insights+into+evolution+of+the+orchidaceae+and+development+of+molecular+markers+for+phylogenetic+applications,?,Auto,?,?,Auto,?,?,?,Auto,?,?,?,?
2337,Comparative chloroplast genomics and phylogeny of the Cycadales,,https://scholar.google.com/scholar?&q=Comparative+chloroplast+genomics+and+phylogeny+of+the+Cycadales,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
2338,"Comparative chloroplast genomics at low taxonomic levels: A case study using Amphilophium (Bignonieae, Bignoniaceae)",,https://scholar.google.com/scholar?&q=Comparative+chloroplast+genomics+at+low+taxonomic+levels%3A+A+case+study+using+Amphilophium+%28Bignonieae%2C+Bignoniaceae%29,Auto,?,?,?,?,?,?,?,Auto,?,?,?,?
2343,"Comparative evolutionary analysis of chalcone synthase and alcohol dehydrogenase loci in Arabidopsis, Arabis, and related genera (Brassicaceae)",,https://scholar.google.com/scholar?&q=Comparative+evolutionary+analysis+of+chalcone+synthase+and+alcohol+dehydrogenase+loci+in+Arabidopsis%2C+Arabis%2C+and+related+genera+%28Brassicaceae%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2344,Comparative evolutionary histories of chitinase genes in the Genus zea and Family poaceae,,https://scholar.google.com/scholar?&q=Comparative+evolutionary+histories+of+chitinase+genes+in+the+Genus+zea+and+Family+poaceae,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2349,"Comparative genomics and phylogenetics of the moonseed genus (Menispermum, Menispermaceae)",,https://scholar.google.com/scholar?&q=Comparative+genomics+and+phylogenetics+of+the+moonseed+genus+%28Menispermum%2C+Menispermaceae%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2355,Comparative morphology and molecular systematics of Podostemum (including Crenias) - American River-weeds (Podostemaceae),,https://scholar.google.com/scholar?&q=Comparative+morphology+and+molecular+systematics+of+Podostemum+%28including+Crenias%29+-+American+River-weeds+%28Podostemaceae%29,?,Auto,?,Auto,?,?,?,?,?,?,?,?,?
2357,"Comparative phylogenetic analyses of basils and allies (Ocimeae, Labiatae) based on three plastid DNA regions and morphology",,https://scholar.google.com/scholar?&q=Comparative+phylogenetic+analyses+of+basils+and+allies+%28Ocimeae%2C+Labiatae%29+based+on+three+plastid+DNA+regions+and+morphology,?,Auto,?,Auto,?,?,?,?,?,?,?,?,?
2358,Comparative phylogeographic analyses illustrate the complex evolutionary history of threatened cloud forests of northern mesoamerica,,https://scholar.google.com/scholar?&q=Comparative+phylogeographic+analyses+illustrate+the+complex+evolutionary+history+of+threatened+cloud+forests+of+northern+mesoamerica,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2359,"Comparative phylogeography in rainforest trees from lower Guinea, Africa",,https://scholar.google.com/scholar?&q=Comparative+phylogeography+in+rainforest+trees+from+lower+Guinea%2C+Africa,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2360,Comparative phylogeography of an ant-plant mutualism: an encounter in the Andes,,https://scholar.google.com/scholar?&q=Comparative+phylogeography+of+an+ant-plant+mutualism%3A+an+encounter+in+the+Andes,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2361,Comparative phylogeography of five widespread tree species: Insights into the history of western Amazonia,,https://scholar.google.com/scholar?&q=Comparative+phylogeography+of+five+widespread+tree+species%3A+Insights+into+the+history+of+western+Amazonia,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2362,Comparative phylogeography of three common Neotropical tree species,,https://scholar.google.com/scholar?&q=Comparative+phylogeography+of+three+common+Neotropical+tree+species,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2363,"Comparative phylogeography of two ecologically divergent sister species, Stuckenia pectinata and S. filiformis (Potamogetonaceae), revealed two divergent migration routes from Central Asia into China",,https://scholar.google.com/scholar?&q=Comparative+phylogeography+of+two+ecologically+divergent+sister+species%2C+Stuckenia+pectinata+and+S.+filiformis+%28Potamogetonaceae%29%2C+revealed+two+divergent+migration+routes+from+Central+Asia+into+China,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2364,"Comparative phylogeography of two related plant species with overlapping ranges in Europe, and the potential effects of climate change on their intraspecific genetic diversity",,https://scholar.google.com/scholar?&q=Comparative+phylogeography+of+two+related+plant+species+with+overlapping+ranges+in+Europe%2C+and+the+potential+effects+of+climate+change+on+their+intraspecific+genetic+diversity,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2366,Comparative plastomic analysis and insights into the phylogeny of Salvia (Lamiaceae),,https://scholar.google.com/scholar?&q=Comparative+plastomic+analysis+and+insights+into+the+phylogeny+of+Salvia+%28Lamiaceae%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2367,Comparative range-wide phylogeography of four endemic Taiwanese bat species,,https://scholar.google.com/scholar?&q=Comparative+range-wide+phylogeography+of+four+endemic+Taiwanese+bat+species,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2369,"Comparative study of the evolution of nuclear ribosomal spacers incorporating secondary structure analyzes within Dodonaeoideae, Hippocastanoideae and Xanthoceroideae (Sapindaceae)",,https://scholar.google.com/scholar?&q=Comparative+study+of+the+evolution+of+nuclear+ribosomal+spacers+incorporating+secondary+structure+analyzes+within+Dodonaeoideae%2C+Hippocastanoideae+and+Xanthoceroideae+%28Sapindaceae%29,?,Auto,?,?,?,?,?,Auto,?,?,?,?,?
